
id	  loaithe	menhgia    soseri	       mathe	
1	  VIETTEL	50000	   12451478985	   247845124698744
	
10	  VIETTEL	50000	   63452446583	   823369353931802
	
17	  VIETTEL	50000	   22896304263	   345670263701803
	
2	  VIETTEL	100000	   58365412426	   311511546960694
	
12	  VIETTEL	100000	   24175851445	   403371570683378
	
9	  VIETTEL	100000	   17262519863	   797281617946224
	
15	  VIETTEL	100000	   45888412036	   448244111151479
	
18	  VIETTEL	200000	   10696040968	   479635544249942
	
16	  VIETTEL	200000	   70430326903	   227400340412575
	
14	  VIETTEL	200000	   82079716229	   419090893810680
	
11	  VIETTEL	200000	   99676371913	   442059451573771
	
8	  VIETTEL	200000	   61525076229	   231286479217252
	
6	  VIETTEL	200000	   43472126228	   137623790198847
	
5	  VIETTEL	200000	   23793122431	   326036491729313
	
3	  VIETTEL	200000	   69639342762	   732917784007062
	
13	  VIETTEL	500000	   35983422811	   997509051045243
	
7	  VIETTEL	500000	   40128860618	   435137879042427
	
4	  VIETTEL	500000	   46134578842	   864861988237489
	
19	  VIETTEL	500000	   19622100546	   855085967827991
	
20	  VIETTEL	500000	   17579516116	   544792008926928	
